,filename,contrast,correlation,homogeneity,energy,label
0,M01_01_00,19.87172474813489,0.9836713323703333,0.2825588196215018,0.031182353872460402,Monkeypox
1,M01_01_01,19.87172474813489,0.9836713323703333,0.2825588196215018,0.031182353872460402,Monkeypox
2,M01_01_02,175.2717529007219,0.9788599511186988,0.37927151454114777,0.11880099172524364,Monkeypox
3,M01_01_03,215.06646021436183,0.9798788630759442,0.44761429586344653,0.21476664474916202,Monkeypox
4,M01_01_04,17.077117979448612,0.9861430186224565,0.3170739260132219,0.034269915220307465,Monkeypox
5,M01_01_05,181.37835066058034,0.9553751860750794,0.2833480769398995,0.04217565871379755,Monkeypox
6,M01_01_06,20.567314846467855,0.9817766746609605,0.2810108539804274,0.03332014861224594,Monkeypox
7,M01_01_07,25.388767117778354,0.9835898223649823,0.26258764124425127,0.028615800370018284,Monkeypox
8,M01_01_08,18.338856602787107,0.9823482169089068,0.28831037320940334,0.032856374036328406,Monkeypox
9,M01_01_09,31.12897906654065,0.9839494503722646,0.24015044383793793,0.025118737497820096,Monkeypox
10,M01_01_10,1752.0814213034646,0.3544139539077851,0.05715626632741979,0.01173757155240527,Monkeypox
11,M01_01_11,691.7034326047176,0.6224474645165861,0.04604211036590066,0.01159375310988827,Monkeypox
12,M01_01_12,1.6357859599026725,0.9984571919608236,0.6311504005851675,0.059738376165570733,Monkeypox
13,M01_01_13,10.467252508596594,0.9860701653177747,0.35335944685916215,0.04000671955628993,Monkeypox
14,M01_02_00,34.937340384886085,0.9842460054348375,0.2343205827327946,0.025135474258931055,Monkeypox
15,M01_02_01,34.937340384886085,0.9842460054348375,0.2343205827327946,0.025135474258931055,Monkeypox
16,M01_02_02,182.24631502744876,0.9580976870549451,0.24625823770246702,0.029619000659846746,Monkeypox
17,M01_02_03,164.28381829515976,0.9820279811134233,0.4510702291953069,0.25662938999464935,Monkeypox
18,M01_02_04,34.93790343662652,0.9842457603576727,0.2343266046972785,0.02513545817124425,Monkeypox
19,M01_02_05,124.28530636047377,0.9676520738466037,0.23542375083666556,0.031017836282397456,Monkeypox
20,M01_02_06,37.02877596573428,0.9881564117004032,0.2294897559904099,0.023143421618343565,Monkeypox
21,M01_02_07,41.287598785416954,0.986034756498036,0.22072230229376902,0.02248328152309861,Monkeypox
22,M01_02_08,29.16883508616702,0.9853477021342448,0.25062934093237127,0.0265774757274445,Monkeypox
23,M01_02_09,49.17396287880311,0.9856926106173329,0.2071325331333554,0.02082931348851027,Monkeypox
24,M01_02_10,1780.729212330833,0.49269853686287707,0.053350506538849075,0.010302419028354843,Monkeypox
25,M01_02_11,711.0195258299987,0.7498396798468661,0.04491684789466446,0.010507231487500086,Monkeypox
26,M01_02_12,5.9067345009953955,0.9967996168015961,0.4661185148625687,0.042008904135493935,Monkeypox
27,M01_02_13,20.792575760622572,0.9905611300573839,0.27346824120858476,0.028333582210038996,Monkeypox
28,M01_03_00,14.628948903054555,0.983819945724126,0.3441208378072338,0.03794694427664431,Monkeypox
29,M01_03_01,8.379838725894347,0.9907348949032384,0.4098232925605063,0.042469993234094824,Monkeypox
30,M01_03_02,119.87791831727962,0.974171632086377,0.44435618977167984,0.1316378169509345,Monkeypox
31,M01_03_03,129.52424138832473,0.9786867405980982,0.5043562039339868,0.21144653474938171,Monkeypox
